title,author,keywords,abstract,url,vol,year,journal
"Transmedia Adaptation Strategies: The Case of Walden, a game",Yu-Chai Lai,"nature writing, popular science education, transmedia storytelling, gamification, digital narrative","Recent studies of transmedia storytelling have focused on the nonfiction genre in investigating how literature and historical materials are transformed into interactive narratives. This study used the example of Henry David Thoreau’s Walden and its video game adaptation by Tracy Fullerton (Walden, a game) to analyze transmedia storytelling strategies. Walden, a game enables players to experience the life described in the original text, such as simulations of the facts that Thoreau build his cottage and collected berries. Furthermore, the game demonstrates how nature writing can be visualized and “audiolized.” Fullerton calculated the frequency of the species appearing in the text and combined this with her personal experience in visiting Walden Pond to present a historically and textually accurate natural environment for players to explore. Adapting nonfiction into video games requires in-depth research to accurately represent the original work and historical context. Fullerton achieves this in Walden, a game and thereby creates a beautiful, slow gaming experience.",http://cjctaiwan.org/issueArticle.asp?P_No=44&CA_ID=362,40,2021,Chinese Journal of Communication Research
Unfinished Experiment: Community and Translocality in Hong Kong Mobile Game Glory Chronicle,Lai Kwok Wai Ray,"community game, Hong Kong mobile game, procedural rhetoric, (trans-)locality, simulation","The evolution of the local consciousness of postwar Hong Kong can be divided into three waves. The current third wave originates from the collective memories of the conservation movement. These emotions were later absorbed by the anti-China movement, which opposes the integration of China and Hong Kong. The “anti-China” movement is nativist in that it strives to describe the Hong Kong people as a nation distinct from Mainland China. This paper asks whether a form of local community other than nativism is possible. This paper contends looking to the mobile game Glory Chronicle (developed by Lakoo and Kowloonia) for an example of a nonnativistic local community. This paper borrows the concept of “community game” to explore the community aspect of Glory Chronicle. The concepts of simulation and procedural rhetoric are used to explain how the game presents translocality. Keywords: Hong Kong, mobile game, community game, simulation, procedural rhetoric, translocality.",http://cjctaiwan.org/issueArticle.asp?P_No=44&CA_ID=363,40,2021,Chinese Journal of Communication Research
Reflections on Gacha Mechanism and Its Impact on Spending in Mobile Games,"Bo-Cheng Chen, Li-Li Chin","mobile games, Gacha mechanism, virtual currencies, capitalism, loot box","Mobile games have become popular in recent years. Gacha or loot box mechanisms in mobile games differ drastically from previous payment mechanisms and have resulted in considerable spending by gamers. This study employed qualitative research methods to analyze and interpret the phenomena holistically. Blending in with mobile games, Gacha, which resembles gambling in that luck plays a major role and can replace the quid pro quo purchase system of the past. Gamers are deeply drawn to this pleasurable consumption and search for symbolic values during the process. However, the use of virtual currencies has created causes for concerns. Mobile game economies and Gacha mechanism operations must be disclosed, heeded, and well-regulated.",http://cjctaiwan.org/issueArticle.asp?P_No=44&CA_ID=370,40,2021,Chinese Journal of Communication Research
Forum: Game Studies,"Jih-Hsuan Tammy Lin, Holin Lin, Hou-Ming Huang","player, character identification, gamification, ludology, gameness","Game studies are part of a dynamic interdisciplinary field wherein the main focus is on video games, gaming, and players. In this special issue, three communication and sociology scholars who have extensive experience in conducting game studies were invited to contribute to this online forum. They introduced their individual game study histories, presented research topics prominent in Taiwan and abroad, and recommended relevant literature for further exploration. Through interquestioning, they proposed directions for future research. These include investigations into Taiwan’s video game industry and its notable creations, the diversified applications of games as strategies for promoting public health, education, and citizen participation, and game studies centered on the video game industry and gaming culture in Asia, conducted using macro and critical political economy approaches. The complex and ambivalent relationships among players, the video game industry, and capitalism merit further examination in the future.",http://cjctaiwan.org/issueArticle.asp?P_No=44&CA_ID=369,40,2021,Chinese Journal of Communication Research
Why Do Journalists Continue to be Killed? Problem and Sociopolitical Origin of the Killing of Filipino Journalists (1986-2019),Chunyen Chang,"killing of journalists, impunity, democracy and freedom of press, Philippines, family dynasty","Journalist safety and working conditions are crucial research topics. Among the countries neighboring Taiwan, the Philippines has the most serious problem of journalists being killed. This study explored why Filipino journalists continue to be murdered. We found that, between 1986 and 2019, 165 Filipino journalists were killed while performing their duties, most of these were local journalists (95.2%). This study argues that these killings are enabled by the Filipino political structure of weak central democracy and strong local authority. Such a political structure enables local authorities to easily kill journalists, avoid accountability, and continue their family dynasty. The augment of this article is that, when the murder of local journalists becomes an effective means of silencing the press, the democratic crisis in the Philippines will worsen.",http://cjctaiwan.org/issueArticle.asp?P_No=44&CA_ID=368,40,2021,Chinese Journal of Communication Research
How Party Identification and Social Distance Influence the First- and Third-Person Effects: Analysis of the 85°C Bakery Café Incident through Big Data and an Online Survey,"Yah-Huei Hong, Roland Chang","behavioral effect, first-person effect, Facebook, party identification, social distance, third-person effect","After Taiwan President Tsai Ing-wen visited Los Angeles and bought a coffee at the 85°C Bakery Café, the café received a barrage of attacks from Chinese citizens and state media accusing it of supporting Taiwan independence. Tsai was also accused by Taiwanese media of trying to influence the 2018 elections. This research counted the number of likes on Facebook posts related to the incident. Posts portraying Tsai negatively received 27,000 likes. We then evaluated the influence of party identification and social distance on the first- and third-person perceptions of the incident by using an online survey. The results showed that pan green and neutral people thought the incident had a greater influence on people both in other counties and his own than on themselves. First-person perception was absent in the pan-blue group. The hypothesis regarding social distance was supported only in the neutral group, and the third- person perception and its behavioral consequences were discovered among the pan-green members who tended not to click the Like button or to leave comments on Facebook.",http://cjctaiwan.org/issueArticle.asp?P_No=44&CA_ID=367,40,2021,Chinese Journal of Communication Research
The Soul and the Uncanny Media: On Kittler’s Media Theory,Wei-Yuan Chang,"discourse network, Kittler, media theory, psychoanalysis, soul, uncanny","In Friedrich Kittler’s media theory, “media” tend to transform people into their cultural prostheses. Although the cultural prostheses of people appear in different forms and function differently across historical periods, they all serve as auxiliary instruments that can enhance media sustainability, development, and evolution. This paper interprets this peculiar human–media relation by using the psychoanalytical concept of the “uncanny.” This paper conceptualizes Kittler’s writings on media history as an uncanny mythography of the media. Through this mythographic lens, the continuity among the three media discourse networks of the 1800s, 1900s, and 2000s is detected. This is an uncanny continuity in which people were constructed and used in the 1800s, torn down and devoured in 1900s, and finally abandoned in the 2000s, all at the hands of the media discourse networks.",http://cjctaiwan.org/issueArticle.asp?P_No=44&CA_ID=366,40,2021,Chinese Journal of Communication Research
Shadow of History in Cinema: Transformation of Nationalism in Taiwan,Yu Chen,"historical writing, national cinema, national identity, Taiwan cinema","Through historical writing, Hong investigated Taiwan under Japan colonial rule before 1945. He believes that the history of Taiwanese film should consider the perspectives of the colonial era, the postcolonial era, modernization, and globalization, rather than that of the 1980s, which is recognized by the Western perspective. The colonization and recolonization parts of this paper can be divided into two parts: “Cross-National Consciousness” and “After Counterbalances: National Identity of the Taiwanese.” Cross-National Consciousness discusses the colonial legacy of Japan and the prevailing Greater China consciousness, after Counterbalances discusses the effects of political factors and commercial markets. Finally, “post-new cinema” and the recent development of Taiwanese film are introduced in the Future of Taiwanese Film to compensate for the lack of historical discourse on Taiwan, which is absent from current mainstream history books on world film.",http://cjctaiwan.org/issueArticle.asp?P_No=44&CA_ID=365,40,2021,Chinese Journal of Communication Research
Social Media and Political Advertising: Analyzing Political Advertisements on Facebook in the 2020 Taiwan Election,Chao-Chen Lin,"political advertising, political marketing firm, algorithms, election, Facebook","Political advertisements on Facebook exhibited strong evidence of financial investment from Russia to disrupt the 2016 American election. Facebook made its practices of self-regulating political advertising transparent in November 2019, the time of the General Election in Taiwan. The advertising policy of Facebook prohibits non-Taiwanese from buying political advertisements. Because of the lack of laws and regulations regarding social media advertising, this study examined the purchase of political advertisements on Facebook. This study discovered that algorithms on Facebook help buyers identify voters. Political advertisements on Facebook purchased by anonymous third parties create political polarization. Unknown individuals and marketing firms play crucial roles in social media campaigns, but their practices of purchasing political advertisements and content are not transparent.",http://cjctaiwan.org/issueArticle.asp?P_No=45&CA_ID=371,41,2022,Chinese Journal of Communication Research
When Sense Meets Sensibility: The Empirical Evidence of Emotion-Oriented Pattern in Crisis Communication,"Hui-Chung Yao, I-Ling Ling*, Hao-Wei Cheng","anger, crisis communication, negative word of mouth (NWOM), emotion-oriented patterns, cognitive-oriented patterns","The cognition–emotion approach has dominated crisis communication theories, whereas the emotion–cognition approach has received little attention. Based on the notion proposed by Lu and Huang (2018) that emotional intensity determines information processing capacity, this study empirically tested the emotion–cognition approach in the domain of crisis communication. The results indicate that the emotion–cognition approach outperformed the cognition–emotion approach in terms of explanatory power, total effect, and direct and indirect effects. In addition, public emotions, rather than crisis responsibility, might have a substantial effect on the public’s perceptions, attitudes, and behavioral intentions during the outbreak of a crisis.",http://cjctaiwan.org/issueArticle.asp?P_No=45&CA_ID=372,41,2022,Chinese Journal of Communication Research
The Probing of Strategic Communication Model of Media Industry Merger and Acquisition: Disney Merged Pixar Case Study,Shi-Hwa Lo,"strategic communication, strategic communication feature, strategic communication model, media industry merger, media merger motive","Probing the quintessential merger and acquisition case of Disney merging Pixar, this study reviews and conceptualizes the case developing process. The four strategic communication models and features of media industry merger are sequentially proposed: (1) start up mode, (2) feedback and contemplation mode, (3) risk management mode, (4) public relationship mode. In terms of media merger stages, this paper sorts the M&A case from the idea pop-up to the public announcement of successful deal making, the comparison with twelve major events of merger and divided by six different stages:(1) ideating and exploring,(2)internal communication I,(3)internal communication II and external communication I,(4)international communication III and external communication II,(5)internal and external risk management,(6)public relationship preparation and announcement.",http://cjctaiwan.org/issueArticle.asp?P_No=45&CA_ID=380,41,2022,Chinese Journal of Communication Research
Limitations on Regulatory Impact Assessments of the National Communications Commission,Kuo-Feng Tseng,"bureaucracy, independence, NCC, professionalism, quality of legislation, regulatory impact assessment (RIA)","The National Communications Commission (NCC) regulates telecommunications and media services in Taiwan, and most of its laws and policies affect citizens, industries, and society. Few studies have explored the functionality of the legislative process and whether the laws serve their purpose, although several ministries have applied regulatory impact assessment (RIA) to the legislative process. This study discovered lobbies outside organizations, such as political parties and interest groups, reduce staff members’ professionalism and independence. In addition, bureaucratic culture and a lack of professionalism prevent RIA from being conducted in a timely manner. Therefore, the NCC should reorganize its staff, redistribute resources, and engage in dialogue with political appointees and ordinary civil servants to effectively regulate telecommunications and the media and produce high-quality laws and policies.",http://cjctaiwan.org/issueArticle.asp?P_No=45&CA_ID=379,41,2022,Chinese Journal of Communication Research
Exploring Journalistic Frame- Building Process: The Study of News Coverage of Cultural and Creative Industries,Heui-Ling Liu,"cultural and creative industries, framing, frame-building, media routine, news values","Frame-build as a process in which journalists frame news has been discussed recently. This study seeks to understand the process of frame- building based on the reporting for cultural and creative industries. Twenty newspaper and broadcasting journalists who cover this relevant news were interviewed. The findings show that journalists have shaped the basic knowledge of the cultural and creative industry through interaction with sources over the years at the cultural level. According to the data collected, journalists’ perception of cultural and creative industries varied on their news beats. Moreover, the news values have led reporters to report the related events. This study concludes the interaction of news value and news routine affect news frame-building significantly.",http://cjctaiwan.org/issueArticle.asp?P_No=45&CA_ID=378,41,2022,Chinese Journal of Communication Research
Representations of Older Adults in the News: A News Framing and Content Analysis of Taiwan’s Apple Daily,"Yi-Chieh Jessica Lin, Ching-Yun Lin","population, representation, stereotyping, news framing, aged society","This study analyzed news coverage of older adults in The Apple Daily from June 1, 2015 to May 31, 2017 to elucidate how newspapers represent older adults in Taiwan. The study divided the subject of news articles into four categories: trends, social problems, health, and new opportunities. The results indicate that numerous articles related to older adults are framed as negative and highlight social problems. The articles also represent older men and women differently. Approximately one-tenth of the articles are native advertising. This study also provided suggestions for news media to improve the quality of their information regarding older adults.",http://cjctaiwan.org/issueArticle.asp?P_No=45&CA_ID=377,41,2022,Chinese Journal of Communication Research
Between Real and Virtual Worlds: The Social Capital of Online Gaming for Office Workers,Shu-Wei Huang,"office worker, social capital, the third place, online, online gaming, offline","Online gaming has become a common form of leisure and entertainment, and office workers are a key target group. Studies have revealed that interpersonal relationships are a strong motivation for office workers to participate in online gaming, but few studies have analyzed how online gaming, which was originally entertainment oriented, has transformed into a tool for office workers to manage their interpersonal relationships. This study explored theories of online gaming, the notion the third place, and how office workers use the social capital of online gaming in both virtual spaces and reality from an ethnographic perspective. In addition, this study analyzed the correlation between players’ online, offline and social capital. Finally, this study proposed that online gaming has both positive and negative effects on the social capital of enterprises and individuals. When used effectively, online gaming can help office workers convert social capital and create opportunities for cooperation. However, differences among players’ understanding and evaluation of online gaming may lead to conflict, reduce group trust, and cause the loss of social capital.",http://cjctaiwan.org/issueArticle.asp?P_No=45&CA_ID=376,41,2022,Chinese Journal of Communication Research
Illuminating the Shadows and the Dark Corners of the History of Photography,Chia-Chi Chen,"Taiwanese photography, historical formation, archive, history of photography","This article reviews Shih-Lun Chang’s book titled Reclaiming Reality: On the Historical Formation of Taiwanese Photography, which has been concluded to be a prototype of a critical historical outline of the history of Taiwanese photography. Research on the history of photography in Taiwan remains insufficient, and this book resists the mission of overall historical writing as well as opens up possibilities for archival research. This review firstly, based on the reflections on the study frame of Taiwan photography history, evaluates the significance and advancement of this book. Secondly, regarding the excavation, inheritance, and archaeology of historical photographic materials, this article uncovers the meaning and values of the type of research discussed in this book. Finally, this article emphasizes that the “problem-consciousness” of the book creates practical and positive meaning that goes beyond the resistance to the history of national photography.",http://cjctaiwan.org/issueArticle.asp?P_No=45&CA_ID=375,41,2022,Chinese Journal of Communication Research
Book Review: Democracy without Journalism? Confronting the Misinformation Society,Chien-San Feng,"public service media, market failure, First Amendment to the United States Constitution, journalism subsidies, positive press freedom","This book review has three components. First, Professor Pickard’s main argument is reconstructed in a condensed way, and the expanded public service media is concluded to provide a necessary, although insufficient, antidote to the United States’ over-commercialized and least regulated media system as compared with those of other rich and liberal democracies. Second, two crucial arguments that merit more attention are identified. The First Amendment may allow the state to actively strengthen press freedom. And the United States government’s active supports had been fundamental to subsidizing delivery systems for the American press and the transformation of post-war German and Japanese broadcasters into public service media. Finally, endnotes are provided that supplement and emphasize two critical facts: the most market-oriented FCC chairman did recognize the possibilities of market failure and proposed remedies accordingly, and America’s local governments have always given considerable subsidies to the publishing industry. Possible reasons are discussed to explain the recent expansion of labor coverage and news unions across the United States.",http://cjctaiwan.org/issueArticle.asp?P_No=45&CA_ID=374,41,2022,Chinese Journal of Communication Research
Book Review: Saving the Media and Saving the News,Shih-Hung Lo,"public media, non-profit media organization, journalism policy, journalism crisis, digital platform","These two books, Saving the Media and Saving the News, written by Julia Cagé in 2015 and Martha Minow in 2021, are worth reading. Cagé and Minow demonstrate the urgency of media policy reform from the perspectives of economics and law respectively. They emphasize the word “saving” to indicate that journalism is worth saving and to propose suggestions on how to save the media and the news. In their books, the imperative for a journalism policy is clarified, and a paradigm shift in thoughts about the future of journalism emerges. These authors voice a renewed concern for the future of journalism in European and North American academic circles, and this concern should be taken seriously. We are in urgent need of media reform strategies and solutions for overcoming the journalism crisis in Taiwan.",http://cjctaiwan.org/issueArticle.asp?P_No=45&CA_ID=373,41,2022,Chinese Journal of Communication Research
Toward an Integrative Perspective,Zhongdang Pan,"frame, framing, framing analysis, discourse, public deliberation, social constructionism","Framing analysis needs theoretical clarification and integration. For this purpose, this paper discusses the theoretical foundations and problematics of framing analysis, explicates the concepts of “frame” and “framing,” reviews and analyzes the literatures in three areas of news framing analysis: frames and framing in news representation, framing effects and psychological mechanisms, and the structuring of discursive practices in public life via framing. Synthesizing the literatures in these areas, this paper argues that framing analysis is an area of research on how people interact in the construction of social reality. It offers a unique theoretical perspective that considers cognition, discourse, and practices in an integrated dynamic.",http://www.cschinese.com/issueArticle.asp?P_No=61&CA_ID=488,1,2007,Communication & Society
"Constructing and Expanding Taiwan's Public Television, 1990 to 2006: Roles of Academic Intellectuals, Social Campaign and Political Authority",FENG Chien-san,"public television, academic intellectual, political authority, social campaign","As the mainstream media has downgraded into a state of refeudalized public sphere, more public media will have to be created in order to alleviate such undesirable tendencies. This paper gives an overview of media reforming activities experienced by Anglo-Saxon campaigners, including many political- economic communication academics. However, the focus of the article is to critically examine how Taiwanese people, communication scholars for the most part, have been re-acting initially to the government’s call for setting up a public television channel (PTV) since 1990, and how such a long-term effort has renovated itself into a more pro-active role over the years. They have exploited a new situation arising since 2000, when the Nationalist Party that had ruled Taiwan since 1949 was defeated in the Presidential Election by the Democratic Progressive Party (DPP). Although expanding PTV was what the DPP included in its Election Manifesto, it is only partially fulfilled under DPP’s administration in early 2006, with the remaining task still daunting. This article ends with a critical reflection on the respective roles of the state and the academics.",http://www.cschinese.com/issueArticle.asp?P_No=61&CA_ID=487,1,2007,Communication & Society
"Election Interpretation, Post-election Campaign, and Institutional Repair: The Case of the 2004 Legislature Council Elections in Hong Kong",LEE Lap Fung Francis,"institutional repair, election interpretations, post-election campaign, media discourse, public opinion","Critical media studies have generally considered the media as subservient to the existing power structure of a society. Because of the characteristics of the news production processes, the embedded-ness of the media in the political economic systems, and/or the working of the dominant ideology, the media tend to privilege the viewpoints and reinforce the legitimacy of the established institutions. But what is the relationship between the media and “established institutions” in a society experiencing political transition? This article examines this issue through a case study of post-election discursive contests. The victory of veteran activist Leung Kwok Hung (nicknamed Long Hair by the media) in the 2004 Legislative Council elections in Hong Kong was widely regarded as presenting a challenge to the establishment. How did the media report the election result? How did public discourse interpret the meanings and implications of his victory? If Leung’s victory represented a challenge to the establishment, how did public discourse articulate the contents of such a challenge? This article reconstructs the “post-election campaign” of the 2004 Legislative Council elections to illustrate the phenomena of public opinion construction and institutional repair. These phenomena have important implications on how we understand the relationship between the media, public discourse, and political institutions during Hong Kong’s political transition.",http://www.cschinese.com/issueArticle.asp?P_No=61&CA_ID=486,1,2007,Communication & Society
Social Discourse of Journalistic Professionalism in the Chinese Context,TONG Jingrong,"Professionalism, Chinese Journalism, Discourse, Media Reform, Chinese Society","This paper investigates the norms of journalistic professionalism in China, and its specific meanings, through the social construction approach. Journalistic professionalism is a normative value system as well as the occupational identity constructed for journalists in social discourse. It is argued that there are three social discourses of journalistic professionalism in China: institutional discourse, official discourse, and citizen discourse. Overlaps can be identified among the three discourses. Chinese journalistic professionalism is changing over time in the discursive field where power struggles take place. The media negotiates with contextual powers in expressing and practicing its professionalism. It is also argued that Chinese professionalism norms are endowed with context-specific meanings and understood in a way different from that in the western discourse. The same expressions for professional norms, such as “taking social responsibility,” “autonomy,” and “objectivity,” carry different implications in the contexts of China and Western countries.",http://www.cschinese.com/issueArticle.asp?P_No=61&CA_ID=485,1,2007,Communication & Society
"Media Literacy, Political Cognition, Media Functions and Media Use: An Analysis of Their Theoretical Connections","GUO Zhongshi, ZHOU Baohua, LU Ye","media literacy, political cognition, perceived media functions, media literacy skills","This paper explicates the concept of media literacy within the confines of two dimensions, skills and knowledge. It explores the theoretical connections between the two dimensions and individuals’ political cognition, perceived media functions, and media use habits. A face-to-face sample survey was conducted in Foshan, Guangdong Province on 477 respondents. Major findings provide evidence for multiple dimensions of key concepts. Different patterns of political cognition, perceived media functions as well as media use variables relate to media literacy dimensions both directly and indirectly. Although data analyses show mixed results, conceptually distinct dimensions receive significant operational support.",http://www.cschinese.com/issueArticle.asp?P_No=61&CA_ID=484,1,2007,Communication & Society
A Multicase Study Revisiting the Communicative Response Model,HUANG Yi-Hui,"crisis situation, communicative response model, media coverage, Taiwan, multiple case study","This study focuses on the relationships among crisis situations, crisis response strategies, and media coverage. The author examines four political crisis situations and the strategies used to manage them, adopts a comparative, multicase, holistic research design, uses typical content analysis procedures for data analysis, and applies pattern-matching logic to compare the data against a theoretical model, the corporate communicative response model. More than 1,220 news articles covering four political figures’ crises are examined. Results indicate that the use of denial in a commission situation, justification in a standards situation, and concession in an agreement situation increased positive media coverage. The results also suggest that for all but the agreement situation, a combination of crisis communication strategies was the most effective strategy to employ. This study has theoretical and practical implications for the symbolic approach in general and for crisis communicative responses in particular.",http://www.cschinese.com/issueArticle.asp?P_No=61&CA_ID=483,1,2007,Communication & Society
"State, Market, and Society: Examining Communication and Power in China from a Critical Perspective",Yuezhi ZHAO,"state, market, society, power, class","Centering on the issue of power, a core research problematic, this article critically assesses the dual intellectual legacies of American empirical research and traditional Marxism in Chinese communication research and aims to develop an integrative theoretical framework in this field in a global context. Specifically, the article calls forth the following breakthroughs toward the development of this framework. First, avoid media centrism and communication essentialism by grasping the mutually embedded nature of state, market and society in the constitution of communication institutions and processes, Second, transcend simplistic dichotomies such as those between the “state” and the “market” and the “state” and “society” by analyzing the concrete articulations of power relationships among different social forces in Chinese communication, Third, overcome the rationalistic and cognitivist biases in much of the debate on the “public sphere” by drawing insights from both the political economy and cultural studies perspectives in Western critical communication research, and finally, reject any humanistic knee-jerk reaction against “tyrannical” states and “exploitative” capitalists by examining the specific patterns of communicative inclusion and exclusion enabled by the intersecting logics of the state and the market and by foregrounding the lived experiences and communicative needs of historically-located human subjects in an increasingly stratified Chinese society.",http://www.cschinese.com/issueArticle.asp?P_No=62&CA_ID=494,2,2007,Communication & Society
Taiwan Journalists' Use of the Internet,"LO Ven-Hwei, CHANG Kai-Ti, Christine Paofang CHANG","Internet use, relative advantage, Taiwan journalists","The study was designed to examine and predict Taiwan journalists’ Internet use behavior. A total of 1,172 working journalists were randomly selected and interviewed in 2004. The results show that relative advantage is an important predictor of Internet use. In addition, journalists’ geographic location and amount of time spent using Internet are also significant predictors of their Internet use behavior.",http://www.cschinese.com/issueArticle.asp?P_No=62&CA_ID=492,2,2007,Communication & Society
"The Myth of Knowledge and Its Cultural Legitimacy: The Case of ""Who Wants to Be a Millionaire""",XIAO Xiaosui,"The myth of knowledge, myth construction, cultural legitimacy, quiz show, “Who Wants to Be a Millionaire”","In 2001, the popular quiz show “Who wants to be a millionaire” set off a sustained craze in Hong Kong, as it had done in many other places of the world. Instead of marveling at the working of one million incentive, we should see the show as a success in creating a new myth of knowledge. This article aims to examine the effectiveness and the cultural legitimacy of this mythical construction. The examination cannot only help to decode a profound message of this kind of TV programme (i.e., the myth of knowledge), but also contribute to understanding the significant but ignored issue concerning the cultural legitimacy of media construction. This case study provides insight about the intricate relationship between media construction and cultural tradition.",http://www.cschinese.com/issueArticle.asp?P_No=62&CA_ID=493,2,2007,Communication & Society
Representing the Underprivileged: News Media Under Marketization and the Peasant-Migrant Labor Issue in Urban China,LI Yanhong,"media in mainland China, public representation of underprivileged group, media marketization, peasant-migrant labour","This study examines the relationship between news media under marketization and one emerging underprivileged group, the peasant-migrant labor group, in contemporary urban China. By analyzing four dailies’ coverage of the issue of detention and extradition of peasant-migrant workers in Guangzhou, it aims to enhance our understanding of the relationship between news media and underprivileged groups in transitional societies. The results of this study indicate that news media in contemporary China differ in their representation of different social groups’ interests: the more market-oriented newspapers are more active than the state-controlled news media in representing the peasant-migrant workers as revealed in its journalism practices and critical discourses. Market force is identified as essential in facilitating this new role of the market-oriented news media. However, the more market-oriented newspapers still fall short of representing the voice of the underprivileged. This paper also discusses the limitations of this study as a case observation, while putting forward some research plans that should be carried out in the future.",http://www.cschinese.com/issueArticle.asp?P_No=62&CA_ID=491,2,2007,Communication & Society
An Alternative Framework for the Analysis of Media Deviance: The Case of Southern Weekend,LI Xiaoqin,"media deviance, alternative framework, Southern Weekend, political discursive negotiation","This paper examines representation of peasants and urban migrant workers as a marginalized social group in Southern Weekend, China’s top-selling metropolitan weekly. It examines media deviance as reflected in the journalistic and rhetorical devices of legitimization in the weekly’s political discourse. Using content analysis and in-depth interviews with journalists, this case study serves to identify the media strategies that bring “hidden transcripts” into “public discourse”. It departs from traditional sociological analysis of media deviance by adopting an alternative framework to analyze this process embedded in political tension in a non-democracy with a dying, or at least diluted, core ideology.",http://www.cschinese.com/issueArticle.asp?P_No=62&CA_ID=490,2,2007,Communication & Society
Generic Intertextuality in Advertising Discourses and Social Changes in Mainland China--The Case of Advertisements in People's Daily in 1980 and 2000,"FENG Jieyun WU, Dong-ying Doreen","generic intertextuality, informative style, involving style, political discourse, private discourse, commercial public discourse","Explorations on social-cultural changes in mainland China over the past two decades have primarily been confined to macro-sociological studies. The present study attempts to go beyond the previous studies by taking a micro-discoursal perspective. Adopting the theory of generic intertextuality in Critical Discourse Analysis, the study compares and contrasts the discursive construction of 268 newspaper advertisements in People’s Daily in 1980 and 2000. The study has revealed that 1) Although ads in both 1980 and 2000 belonged to the commercial public discourse, those in 1980 were inclined towards political discourse while those in 2000 tended to denote private discourse, 2) While the ads in 1980 were characterized largely by the informative style, the majority of the ads in 2000 manifested a hybridization of both the informative and the involving styles. A discussion of the changing advertising discourses in relation to the macro-social structures and the underlying ideologies in the past two decades of China is presented. It is hoped that the present study could contribute to the theoretical and methodological development of social-cultural studies as well as to the effort of quantifying intertextual analysis.",http://www.cschinese.com/issueArticle.asp?P_No=62&CA_ID=489,2,2007,Communication & Society
Introduction to Media and Politics in Post-handover Hong Kong,"Joseph M. CHAN, Francis L. F. LEE","Hong Kong handover, power structure, media, politics, power center","The authors primarily draw on the articles of the Special Issue and related works to shed light on the relationship between politics and media in posthandover Hong Kong. While most media have shifted in favor of Chinese authorities and exercised self-censorship as the power structure is reconfigured,",http://www.cschinese.com/issueArticle.asp?P_No=63&CA_ID=504,3,2007,Communication & Society
"Strategic Interaction, Cultural Co-orientation, and Press Freedom in Hong Kong",LEE Lap Fung Francis,"Press freedom, strategic interaction, cultural co-orientation, national-local conflicts, self-censorship","This article discusses press freedom in Hong Kong since the handover. It argues that in the immediate years after reunification, the strategic interaction between the media and the power holders within a commonly accepted framework has contributed to an “equilibrium condition” in which there was no",http://www.cschinese.com/issueArticle.asp?P_No=63&CA_ID=503,3,2007,Communication & Society
"Professionalism, Press Freedom and Market Force: Stability and Change in the Hong Kong Journalism Industry after the Handover",Clement Y. K. SO,"Hong Kong journalists, media professionalism, press freedom, selfcensorship, market force","A comparison of three surveys of Hong Kong journalists from 1996 to 2006 finds that media professionalism remains intact in spite of significant sociopolitical changes. However, the media’s performance has been in doubt as reflected in credibility decline and rising self-censorship. Factors accounting for this apparent disjunction between journalists’ professionalism and overall media performance include the proliferation of journalism education, the entrenchment of press freedom in Hong Kong’s political culture, the journalists’ need for a selfdefense and survival strategy, and the media market as a balancing force of political pressure. It is the interplay of all these factors that matters.",http://www.cschinese.com/issueArticle.asp?P_No=63&CA_ID=502,3,2007,Communication & Society
“Social Order” Vs. “Civil Space” — Comparative Analysis of Media Discourses in Hong Kong,Agnes S. KU,"civil society, mass media, rule of law, hegemony, Hong Kong","This article examines the role of the mass media in the discursive field of civil society in Hong Kong with reference to three case studies. The civil space is defined and re-defined through the interplay between a dominant discourse of order versus chaos on the one hand and an opposition discourse of civil society on the other, both being mixed with certain ideological, pragmatic and marketing",http://www.cschinese.com/issueArticle.asp?P_No=63&CA_ID=501,3,2007,Communication & Society
Public Service Broadcasting at its Crossroads: A Political Model of Radio Hong Kong’s Evolution,Grace L. K. LEUNG,"public service broadcasting, editorial independence, Radio Television Hong Kong (RTHK), re-nationalization","Public service broadcasting systems around the world face similar crises of declining audience share, erosion of public broadcasting identity, function overlaps with the commercial broadcasters, reduction of public funding and operation pressures arising from the digital transformation process. The public",http://www.cschinese.com/issueArticle.asp?P_No=63&CA_ID=500,3,2007,Communication & Society
Local Identity and Nationalism: Surveys on Hong Kong Cultural Identification 1996–2006,"MA Kit Wai, Eric, FUNG Ying Him, Anthony","national identity, cultural identity, transborder connections, identity Icons","Survey results show that more Hong Kong people claim a mixed identity, seeing themselves as both Hongkongers and Chinese. Their perceptions of Hong Kong-mainland differences are disappearing in terms of economic values but are still conspicuous in terms of political values. They identify more with the cultural and historical aspects of their national identity, political identification remains weak. The authors try to problematize the once dominant mediated local-national dichotomy and propose a multidimensional understanding of the formations of Hong Kong’s national identity.",http://www.cschinese.com/issueArticle.asp?P_No=63&CA_ID=499,3,2007,Communication & Society
"Media Education, Critical Citizenship and Public Sphere: The Ideal and Practice of Media Education in Hong Kong",Alice Y. L. LEE,"media education, public sphere, critical citizenship, social participatory model","Media education in Hong Kong was only launched after 1997. Its rapid growth was largely due to the worsening of the media environment and deteriorating of the public sphere after the handover. Media educationists propose to adopt the “social participatory model” to promote media education, to nurture",http://www.cschinese.com/issueArticle.asp?P_No=63&CA_ID=498,3,2007,Communication & Society
